text,label
"Moluccans are the Austronesian-speaking and Papuan-speaking ethnic groups inhabiting the Maluku Islands. The term ""Moluccan"" is an umbrella term that covers the various Austronesian and Papuan languages spoken on the islands. The largest group of Moluccans are the Tolo-speaking people.

The Maluku Islands are a group of volcanic islands in eastern Indonesia, located about 1,000 kilometres east of Java and 2,000 kilometres south of New Guinea. The islands comprise over 700 islands, with a total land area of approximately 245,000 square kilometres. They have a population of around 1 million people, most of whom are Muslim. The largest island group is the Tolo-speaking region, which comprises over 60% of the population.

The Moluccas were first explored by Europeans in 1512. Portuguese explorer João da Nova discovered Ternate and Tidore, while Dutch explorer Jacob Roggeveen discovered Halmahera and Bougainville. The Moluccas were later visited by Spanish explorer Ferdinand Magellan in 1521. British explorer James Cook visited Ternate, Tidore, Halmahera, and Bougainville during his first voyage in 1770–71.",0
"Moluccans are the Austronesian-speaking and Papuan-speaking ethnic groups indigenous to the Maluku Islands, also called the Moluccas and historically known as the Spice Islands, which as a region has been annexed by Indonesia since the end of 1950. As such, ""Moluccans"" is used as a blanket term for the various ethnic and linguistic groups native to the islands.
	
The original inhabitants of the Maluku Islands were Austronesian and Melanesian in origin. Austronesian peoples partially assimilated the native Melanesian population in terms of linguistics and other areas, around 2000 BCE due to extensive trade, making Malayo-Polynesian creole languages the lingua franca in most of the region. Later added to this were several Dutch, Chinese, Portuguese, Spanish, Arabian and English influences due to colonization, marriage with foreign traders during the Silk-route era and Middle ages, and even with European soldiers during the World Wars. A small number of German descendants was added to Moluccan population, especially in Ambon, along with arrival of Protestant Missionaries since 16th century. Moluccans are predominantly Christian like many other Melanesians, but Muslim villages are also present. Despite religious differences, all groups share strong cultural bonds and a sense of common identity, such as through Adat, Pela and Bongso traditions. Music is also a binding factor, playing an important role in the cultural identity. Moluccans historically tend to be a musically gifted people, excelling in creative areas such as singing and sports. In recognition, the Moluccan capital city of Ambon was awarded the official status of City of Music by UNESCO in 2019.",1
"HarperOne is a publishing imprint of HarperCollins, specializing in books about American history and culture. The imprint was founded in 1992, by Bob Bernstein and Michael Morrison.

HarperOne has published a number of critically acclaimed books, including ""The Death of Lincoln"" by Abraham Lincoln historian David Herbert Donald, ""The Unfinished Revolution"" by 16th president of the United States James K. Polk, ""The Civil War"" by Allan Nevins, ""The American Republic"" by Richard Hofstadter, and ""The Great American Novel"" by Edmund Wilson.",0
"HarperOne is a publishing imprint of HarperCollins, specializing in books that aim to ""transform, inspire, change lives, and influence cultural discussions."" Under the original name of Harper San Francisco, the imprint was founded in 1977 by 13 employees of the New York City–based Harper & Row, who traveled west to San Francisco to be at the center of the New Age movement. Harper acquired the religious publisher Winston-Seabury from CBS in 1986. Harper San Francisco changed its name to HarperOne in 2006, and expanded its core book categories beyond religion and spirituality to include health and wellness and inspirational non-fiction. Partial bibliography
 The Alchemist by Paulo Coelho (25th anniversary edition 2015)
 The Subtle Art of Not Giving a F*ck by Mark Manson (2016)
 What Is the Bible? by Rob Bell (2017)
 Brave by Rose McGowan (2018)
 Mere Christianity by C.S. Lewis (repackaged edition 2015)
 Search Inside Yourself by Chade-Meng Tan (2012)
 The End of Dieting by Dr. Joel Fuhrman (2015)
 A Return to Love by Marianne Williamson (reissue edition, 1996)
 Made for Goodness by Archbishop Desmond Tutu (reprint edition 2011)
 My Spiritual Journey by the Dalai Lama (2010)
 The Art of Power by Thich Nhat Hanh (2007)
 The Dark Night of the Soul by Gerald May (2004)
 You Belong: A Call for Connection by Sebene Selassie (2020)",1
"In computer science and mathematics, a full employment theorem is a theorem stating that for any given set of available resources, there exists a unique unemployment equilibrium in which there are no unemployed people.

The full employment theorem is a result of the theory of market equilibrium and was first proposed by Pareto in 1895. The theorem states that if the market has the ability to create full employment, then there will be no unemployment.

There are a few conditions that must be met for the theorem to hold:
1) There must be enough resources available to meet demand.
2) The market must be able to create jobs at the same rate as people enter and leave the workforce.
3) The rate at which jobs are created must be equal to the rate at which people want to work.",0
"In computer science and mathematics, a full employment theorem is a term used, often humorously, to refer to a theorem which states that no algorithm can optimally perform a particular task done by some class of professionals. The name arises because such a theorem ensures that there is endless scope to keep discovering new techniques to improve the way at least some specific task is done. For example, the full employment theorem for compiler writers states that there is no such thing as a provably perfect size-optimizing compiler, as such a proof for the compiler would have to detect non-terminating computations and reduce them to a one-instruction infinite loop. Thus, the existence of a provably perfect size-optimizing compiler would imply a solution to the halting problem, which cannot exist. This also implies that there may always be a better compiler since the proof that one has the best compiler cannot exist. Therefore, compiler writers will always be able to speculate that they have something to improve. A similar example in practical computer science is the idea of no free lunch in search and optimization, which states that no efficient general-purpose solver can exist, and hence there will always be some particular problem whose best known solution might be improved.",1
"""Pussy Fairy (OTW)"" (stylized as ""P*$$Y Fairy"") is a Japanesepop group formed in 2010. consisting of four members: Yukari Tamura, Yui Hatano, Rina Sato and Karen Uehara.

The group's name derives from the term ""pussy pass,"" which is a term used by Japanese men to describe female genitalia. Their music is often described as ""kawaii"" and ""pink.""

Pussy Fairy released their debut single ""Kimi no Kioku"" on January 10, 2010. The song was used as the opening theme for the anime television series ""Kimi no Na Wa."" The song peaked at number four on the Japan Oricon Singles Chart and was certified platinum by the Recording Industry Association of Japan. The follow-up single, ""Omoide ga Iru Kara,"" was released on May 3 and reached number two on the Japan Oricon Singles Chart.",0
"""Pussy Fairy (OTW)"" (stylized as ""P*$$Y Fairy (OTW)"") is a song recorded by American singer Jhené Aiko for her third studio album, Chilombo (2020). Julian-Quán Việt Lê produced the song and co-wrote it with Aiko and Micah Powell. Def Jam released it for digital download and streaming as the album's third single on January 16, 2020. ""Pussy Fairy (OTW)"" is an R&B ballad, featuring an alchemy crystal sound bowl intended to activate the listener's Svadhishthana (the sacral chakra). In the lyrics, Aiko acts as the ""pussy fairy"" and boasts about her sexual performance. The song received generally positive reviews from music critics, who praised its sexual content. They compared the explicit lyrics to 1990s music. ""Pussy Fairy (OTW)"" was Aiko's first solo single to reach the top 40 on the US Billboard Hot 100 and was certified platinum on the Recording Industry Association of America (RIAA) for selling over one million digital units. The song appeared on the UK Singles Chart and the New Zealand Hot Singles chart.",1
"Qasr Ibrahim (Ibrahim Palace) is a historical palace in Saint Petersburg, Russia. It is located on the Fontanka River, southeast of the Winter Palace. 

The construction of the palace began in 1754 on the orders of Empress Elizabeth I for her son, Peter III. The palace was built as a residence for the imperial family and remained their primary residence until 1918. From 1918 to 1924 it served as the official residence of the Russian provisional government during the Russian Revolution. 

The palace has been used as a museum since 1924 and is now part of the State Hermitage Museum.",0
"Qasr Ibrahim (Ibrahim Palace) is a historical castle and fort that is located in the north of Alqoat neighborhood, Hofuf, Al-Ahsa, Eastern Province, Saudi Arabia. Besides, it is called the dome Palace, AlQoat Palace or Ibrahim Castle. Ibrahim palace is the main architectural heritage from the Ottoman period of Al-Hofuf that was a Turkish military barracks. After that, the palace was taken and seized by King Abdul-Aziz Al Saud in April 13, 1913 (5th of First Jumada 1331 AH). The palace was constructed with a mosque that has a dome in 1555 (963 AH). During the next century, the palace was enlarged into a castle, prison and Turkish bath. In 2019, the Saudi Commission for Tourism and National Heritage has announced that the procedures of renovation of all parts of the palace have finished. This restoration process included rebuilding the fallen parts, painting the buildings and preparing a main square for the tourism activities and festivals.",1
"Somewhere Somehow is the fourth studio album by American rock band The Paper Kites, released on September 18, 2016.

The album was produced by Dave Fridmann (The Flaming Lips, MGMT) and recorded at his Tarbox Road Studios in upstate New York. It was preceded by the release of the lead single ""Somewhere Somehow"" on July 8, 2016. 

The album has been widely acclaimed by critics and debuted at number one on the Billboard Top Rock Albums chart. It has also been nominated for a Grammy Award in the Best Rock Album category.",0
"Somewhere Somehow is the fourth studio album by American rock band We the Kings. It is the first album without bassist Drew Thomsen, who was replaced by Charles Trippy. Keyboardist Coley O'Toole was also added into the lineup. After parting ways with S-Curve Records, the group released the single ""Just Keep Breathing"" in April 2013. Over the next couple of months, the band released ""Find You There"" and ""Any Other Way"" as singles before going on the Summer Fest tour. In late September, the band started a campaign to crowd-fund their next album; it eventually received over $149,000 from 2,309 people. The band recorded in Los Angeles, California, working with Blake Healy, Steve Shebby and David Immerman, all of whom co-wrote and produced songs on the album. The album was announced for release with the title Vitam Regum, before it was changed to Somewhere Somehow a week later. ""Art of War"" was released as a single in early December. Somewhere Somehow was released on December 16 through Ozone Entertainment. Following a U.S. tour in March 2014, the group toured Japan and Australia, before joining Warped Tour. A music video was released for ""That Feeling"" in mid-January 2015. Somewhere Somehow peaked at number 44 on the Billboard 200, and reached the top 10 on several other Billboard charts. It also charted in the top 20 on several UK charts. Despite receiving a mixed critical reception, Clark regarded the album as ""a huge success!""",1
"The A5120 is an A-class road in the United Kingdom, running from the Scottish Borders to the English border.

The A5120 is a rural road, passing through the counties of Roxburgh and Berwick-upon-Tweed. The road is mainly single carriageway, but there are a few sections with dual carriageway. The A5120 runs through beautiful countryside, and is a popular route for tourists travelling to Scotland and England.",0
"The A5120 is an A-class road in Bedfordshire, linking the conjoined towns of Ampthill and Flitwick to Dunstable and, via the M1 motorway, Luton and London. It connects with the M1 at junction 12 in close proximity to the Toddington services. On its route from Ampthill to Dunstable, the A5120 serves Westoning, Harlington, Toddington and Tebworth. Unusually for an A-road, it does not meet another A-road at any point between its start on the A507 and its end on the A5. This would change if the A505 Dunstable North Bypass were to be built, however. When the A5120 meets the A5 in Dunstable, the latter is multiplexed with the A505 road. The road passes through the Houghton Regis area of Dunstable as it approaches the town from the north. The road actually continues past the A5, without its A5120 number, as an unclassified road, into the Beecroft industrial estate, where it meets the B489 road from Ivinghoe.",1
"FORGE is a United States-based nonprofit organization with the mission of advancing the development of open source software. FORGE provides resources, training, and mentorship to help organizations build better software using open source tools.

FORGE was founded in 2005 by developers from Google and Yahoo! who wanted to make open source development more accessible and helpful for organizations. Today, FORGE has over 1,000 members from a wide range of industries, including technology, finance, healthcare, government, and education.

The FORGE Program provides resources and training to help organizations build better software using open source tools. The FORGE Program offers three levels of membership: Bronze, Silver, and Gold. These levels offer different benefits, including access to FORGE's online resources library, monthly webinars on open source development topics, and quarterly workshops held in various locations around the world. 

FORGE also works with a number of partner organizations to offer additional services such as code reviews and enterprise support. Recently, FORGE partnered with SourceForge to provide enterprise support for open source projects on the SourceForge platform.",0
"FORGE is a United States-based nonprofit organization that works with displaced communities in Africa.  FORGE was founded by Stanford University graduate Kjerstin Erickson at the age of 20 in 2003. Since its founding, FORGE has implemented over seventy community development projects that have served more than 70,000 refugees in four refugee camps in Zambia and Botswana. An official Operating Partner of the United Nations refugee agency (UNHCR), FORGE works in Zambia, hand-in-hand with refugees from the Democratic Republic of Congo, Angola, Rwanda, Burundi, and Sudan. FORGE’s Mission
FORGE aims to build upon the capacity of African refugees to cultivate empowered communities and to create the conditions for peace and prosperity in their countries.  FORGE believes that individuals affected by war are a key factor to breaking the cycle of war and poverty in Africa. Instead of providing relief work for refugees, FORGE aims at providing education and training to refugees in order to empower them with greater economic and leadership capacity. There are five main project areas that FORGE is now working on: Education, Economic Development, Health Education, Women’s Empowerment and Community Enrichment.",1
"Jai Bhim  is a 2021 Indian action film directed by Sajid Khan and produced by Fox Star Studios. The film stars Akshay Kumar, Riteish Deshmukh, and Tamannaah Bhatia in lead roles.

The story is set in the fictional town of Jai Bhim. It follows Bhim (Akshay Kumar), a humble taxi driver who is wrongly accused of a crime he did not commit, and his quest to clear his name and restore justice to his town. 

Development on the film began in early 2019, with Khan directing from a screenplay he wrote himself. Principal photography began in November that year in Mumbai and continued in other parts of Maharashtra until May 2020. The film was shot using anamorphic lenses, to give it a ""grittier"" look.

Jai Bhim was released worldwide on 3 June 2021, to generally positive reviews from critics. It grossed over $120 million worldwide, making it one of the highest-grossing Indian films of all time.",0
"Jai Bhim  is a 2021 Indian Tamil-language legal drama film directed by T. J. Gnanavel and produced by Jyothika  and Suriya under 2D Entertainment. The film stars Suriya and Lijomol Jose with Manikandan, Rajisha Vijayan, Prakash Raj, Rao Ramesh and others in supporting roles. The film deals with the subject of police bias and state violence against a marginalised community. Based on a true incident in 1995, which involves a case fought by Justice K. Chandru, it revolves around the lives of Sengeni and Rajakannu, a couple from the Irular tribe. Rajakannu was arrested by the police, and was later missing from the police station. Sengeni seeks the help of an advocate Chandru to seek justice for her husband. Following an official announcement in April 2021, the film began principal photography that month, with many sequences being shot in Chennai and Kodaikanal. Production was halted due to the COVID-19 pandemic and filming resumed in July 2021. It was completed that September. The film's cinematography and editing were handled by S. R. Kathir and Philomin Raj respectively. The music and film score is composed by Sean Roldan. The film's title is a reference to the slogan used by followers of B. R. Ambedkar.",1
"The Central Connecticut Conference (CCC) is an NCAA Division I conference in the United States. The conference was founded in 1973 as the New England Collegiate Conference (NEC). In 2002, the NEC merged with the Yankee Conference to form the CCC. The conference has ten members: Bryant, Central Connecticut State, Eastern Connecticut State, Fairfield, Hartford, Sacred Heart, Western Connecticut State, and Yale.",0
"The Central Connecticut Conference (CCC) is an interscholastic athletic conference in the Greater Hartford region of Connecticut, United States. History
In July 1999 founding member Enfield High school would leave the CCC Conference to join the NCCC. E.O. Smith applied to join the CCC Conference in 1999 due to increasing enrollment, E.O. Smith would replace the departing Enfield high school. The Central Connecticut Conference or (CCC) went through major expansion in 2009 with a total of 32 schools participating in the conference. In the 2015–16 school year, Avon High School joined the CCC. This made the conference change back to three divisions of eleven teams, with a blue and a white section in each division, with one having five teams and the other having six. Avon High School moved from the NCCC, where they were the largest school. Some of their competitors were not large enough to have freshman and/or junior varsity teams for Avon to compete against, leading to their move. Avon High school would be replacing Fermi High School which closed its doors at the end of the 2016 academic year, Fermi would merge all of its sports with Enfield High school becoming one school. Also in 2016 Weaver High School a founding member of the CCC Conference in 1984, announced they would be leaving the conference at the end of the 2016-2017 academic year due to low student enrollment. More expansion continued in 2018 when Lewis Mills high school voted to leave the Berkshire league and join the CCC conference beginning conference play in 2019. Lewis Mills would be replacing Rockville high school who left to join the NCCC Conference for the 2017-2018 season.",1
"The Borderland series of urban fantasy novels by New York Times best-selling author Patricia Briggs is set in a world where the border between our world and the Fae realm is permeable and sometimes difficult to spot. The series follows a group of humans and Fae who live and work in this borderland, and their struggles to keep the two worlds separate.

The first book in the series, The Shift, was published in 2004 and tells the story of sheriff Kaylee Sullivan, who is called to investigate a series of disappearances on the other side of the border. As she investigates, she discovers that the Fae are using humans as pawns in a larger game, and she must fight to protect her friends and avert a Fae invasion of her home town.

The Borderland series has been praised for its well-developed characters and its intricate plot. Fans of urban fantasy novels are sure to enjoy the series, which is suitable for all ages.",0
"The Borderland series of urban fantasy novels and stories were created for teenage readers by author Terri Windling. Most of the series is set in Bordertown, a dystopian city near the border between ""the Elflands"" and ""The World"". The series consists of five anthologies and three novels. The series has spawned fan groups, gaming groups, costumed events (such as the Borderzone parties in Los Angeles), and was discussed in The Fence and the River: Culture and Politics at the US-Mexico Border by Claire F. Fox. Bordertown is the name of the shared universe created by Terri Windling, and a fictional place within that universe. The premise of the Borderland books is that the ""Elflands"" - a realm of magic populated by post-Tolkien elves have ""returned"" to ""The World"". The region of juxtaposition of the Elflands and the World includes Bordertown or ""B-Town"", and the ""Borderlands"" which lie between Bordertown and the World.  In the liminal environment of Bordertown and its environs, neither magic nor technology functions ""normally"", and unpredictable combinations of the two may emerge.",1
"Xian  refers to a person or thing that is in the middle, in between, or at an intermediate stage. It can also mean a place or state of equilibrium or balance. The name ""Xian"" is composed of the characters ""xian"" meaning ""in the middle"" or ""intermediate"", and ""ren"" meaning ""person or thing"". 

The Xian in Taoism refers to a person who is in the middle of the process of becoming Tao, or the ultimate truth. This person has to go through a lot of trials and tribulations in order to reach their goals. They have to be willing to change and adapt, and they must be willing to let go of things that are no longer necessary.",0
"Xian  refers to a person or similar entity having a long life or being immortal. The concept of xian has different implications dependent upon the specific context: philosophical, religious, mythological, or other symbolic or cultural occurrence. The Chinese word xian is translatable into English as:
 (in Daoist philosophy and cosmology) spiritually immortal; transcendent human; celestial being 
 (in Daoist religion and pantheon) physically immortal; immortal person; an immortal; saint
 (in Chinese alchemy) alchemist; one who seeks the elixir of life; one who practices longevity techniques
 (or by extension) alchemical, dietary, or qigong methods for attaining immortality
 (in Chinese mythology) wizard; magician; shaman; sorcerer
  (in popular Chinese literature) genie; elf, fairy; nymph;  (xian jing is fairyland, faery)
 (based on the folk etymology for the character , a compound of the characters for person and mountain) sage living high in the mountains; mountain-man; hermit; recluse
 (as a metaphorical modifier) immortal [talent]; accomplished person; celestial [beauty]; marvelous; extraordinary 
(In new-age conception) seeker who takes refuge in immortality (longevity for the realization of divinity); transcended person [self] recoded by the ""higher self""; divine soul; fully established being Xian semantically developed from meaning spiritual ""immortality; enlightenment"", to physical ""immortality; longevity"" involving methods such as alchemy, breath meditation, and tai chi chuan, and eventually to legendary and figurative ""immortality"".",1
"Death of Cook is the name of a small, unidentified extinct hominin species. It is so far the only known member of its genus and family.

The death of Cook is a remarkable event in the history of human evolution. Cook's remains were discovered in 2003 at the site of a archaeological excavation in Kibish, Ethiopia, and have provided new insights into the human lineage.

Cook was about 1.5 meters tall and had an estimated weight of about fifty kilograms. He had a small skull and robust body proportions typical of early Homo sapiens. His teeth and bones suggest that he ate a diet rich in animal matter, which may have contributed to his robust physique.

Cook's remains provide new clues about our evolutionary history and the origins of early Homo sapiens. His discovery suggests that our ancestors were more physically robust and capable than previously thought, and that they may have been able to survive in colder climates than previously thought.",0
"Death of Cook is the name of several paintings depicting the 1779 death of the first European visitor to the Hawaiian Islands, Captain James Cook at Kealakekua Bay.  
Most of these paintings seem to go back to an original by John Cleveley the Younger, painted in 1784, although other versions, like that of John Webber, stood model for later copies too. Such artworks were reproduced in paint and engraving over the course of modern world history.  The much more famous reproductions, like the one at the Honolulu Museum of Art (allegedly based on the Cleveley version), often depicted Cook as a peacemaker trying to stop the fighting between his sailors and the native Hawaiians that they had challenged in combat. However, in 2004, the original Cleveley painting was discovered in a private collection belonging to a family since 1851. James, Cleveley's brother was a member of Cook's crew, and the painting is said to concur with his drawings and eyewitness accounts.  The original depicted Cook involved in hand-to-hand combat with the native Hawaiians.  The discovery of the original painting has not changed the way most historians view Cook's relationship with the Hawaiians, as during his last voyage, Cook was reported by his contemporaries to have become irrationally violent.  
  
The original watercolour painting, together with three others in a series by Cleveley, was put up for auction by Christie's auction house in London in 2004. The lot of four paintings sold for £318,850 (USD 572,655).",1
"The history of Madagascar is distinguished clearly from that of neighbouring islands by its unique blend of traditional and colonial influences. The first inhabitants of Madagascar are thought to have arrived from Africa about 65,000 years ago. For the next 10,000 years or so, Madagascar was united with other islands, first as part of the African continent and then as part of the Indian subcontinent. From the 16th century until the 18th century, Madagascar was a Dutch colony. In 1795 it became a French colony. The French colonial period lasted until 1960, when Madagascar became an independent republic. 

Between 1960 and 2009, Madagascar was ruled by three successive presidents: Philibert Tsiranana (1960-1968), Marc Ravalomanana (1968-1978), and Marc Antoine Rajoelina (1978-2009). In 2009, a military coup d'état led by Andry Rajoelina forced president Tsiranana into exile and replaced him with Hery Rajaonarimampianina. Rajaonarimampianina was convicted of corruption in 2013 and sentenced to life in prison; he remains in office despite numerous requests for his removal from the Malagasy government. 


The island of Madagascar is located in the Indian Ocean off the southeast coast of Africa. The island is separated from India by the Mozambique Channel and from Africa by the Réunion Channel. The total land area is approximately 25,000 square kilometres (10,000 square miles). The",0
"The history of Madagascar is distinguished clearly by the early isolation of the landmass from the ancient supercontinent containing Africa and India, and by the island's late colonization by human settlers from the Sunda islands (Malay Archipelago) and from East Africa. 
These two factors facilitated the evolution and survival of thousands of endemic plant and animal species, some of which have gone extinct or are currently threatened with extinction due to the government not allocating resources to help the growing population, causing many people to resort to harmful environmental practices as a way of survival.
Trade in the Indian Ocean at the time of first colonization of Madagascar was dominated by large ships, called Djong, coming from Java and Sumatra. Over the past two thousand years the island has received waves of settlers of diverse origins including Austronesian, Bantu, Arab, South Asian, Chinese and European. The majority of the population of Madagascar today is a mixture of Austronesian and Bantu settlers. Despite popular belief, there has been no genetic input from Arabs or Indians, although one tribe, the Antemoro, claims descent from Somali Arab traders. European and Middle eastern paternal ancestry is also present.",1
"The Sony α NEX-7 is a digital mirrorless interchangeable lens camera announced by Sony on February 3, 2014. It replaces the discontinued NEX-5R, and is the successor to the NEX-5.",0
"The Sony α NEX-7 is a digital camera announced 24 August 2011 by Sony. It is a mirrorless interchangeable lens camera and as such inherits a smaller body form factor than a traditional digital single-lens reflex camera, while still retaining the sensor size and features of an APS-C-sized model. It is targeted at experienced users, enthusiasts and professionals. It is replaced by the ILCE-6000 (α6000). Features
Being targeted at experienced users, enthusiasts and professionals, the Sony NEX-7 offers features relevant to them. Mainly, it integrates a 24.3 megapixels APS-C sensor, videos 1920×1080p at 60 frame/s in AVCHD 2 and 10 fps stills shooting. It's built in a robust magnesium alloy and incorporates an XGA OLED electronic viewfinder with 2.4 million dots resolution.
The camera's specifications are as follows:
24 megapixel APS-C CMOS image sensor
ISO 100-16000
2.4 million dot OLED Electronic View Finder (EVF)
Electronic first-curtain shutter (for faster response time)
1080p 60 HD video recording with built-in mic (stereo)
Rear screen with tilt feature
Built-in flash and alpha hotshoe
remote control receiver (infra-red)
External mic input",1
"Israel (Yisrol) Grodner (; ca. 1848 – February 2, 1914) was a Romanian-born Hungarian rabbi and scholar of the Chassidic movement. He is best known as the author of the seminal work on Chassidic thought, ""Tanya"".

Israel Grodner was born in 1848 in Botești, Moldavia, then part of the Russian Empire. After studying at the University of Moscow and at the University of Vienna, he became rabbi of Sfântu Gheorghe, Romania in 1881. He is best known for his work on Chassidism, which he began publishing in 1896. Grodner died in 1914.",0
